Title,Price,Description,Rating,Link,Category
Carbon Black - Vulcan XC 72,NA,NA,,https://www.fuelcellstore.com/fuel-cell-components/catalyst/vulcan-xc72,Catalyst
Carbon Black - Vulcan XC 72R,NA,NA,,https://www.fuelcellstore.com/fuel-cell-components/catalyst/vulcan-xc-72r,Catalyst
XT Ruthenium Oxide Grade P,NA,NA,NA,https://www.fuelcellstore.com/fuel-cell-components/catalyst/fce-ruo2-20-30,Catalyst
Graphite Powder - 28 grams,NA,NA,,https://www.fuelcellstore.com/fuel-cell-components/catalyst/graphite-powder,Catalyst
Platinum Catalyst,NA,NA,NA,https://www.fuelcellstore.com/fuel-cell-components/catalyst/platinum-black,Catalyst
XT Ruthenium Oxide Grade Q,NA,NA,NA,https://www.fuelcellstore.com/fuel-cell-components/catalyst/fce-ruo2-40-60,Catalyst
Platinum Black - HSA,NA,NA,,https://www.fuelcellstore.com/fuel-cell-components/catalyst/platinum-black-high-surface-area,Catalyst
XT Ruthenium Oxide Grade R,NA,NA,NA,https://www.fuelcellstore.com/fuel-cell-components/catalyst/fce-ruo2-80-100,Catalyst
XT Platinum Black Grade P,NA,NA,NA,https://www.fuelcellstore.com/fuel-cell-components/catalyst/fce-ptb-20-30,Catalyst
XT Ruthenium Oxide Grade S,NA,NA,NA,https://www.fuelcellstore.com/fuel-cell-components/catalyst/fce-ruo2-140-160,Catalyst
5% Platinum on Carbon XC-72,NA,NA,,https://www.fuelcellstore.com/fuel-cell-components/catalyst/5-platinum-carbon,Catalyst
XT Platinum Black Grade Q,NA,NA,NA,https://www.fuelcellstore.com/fuel-cell-components/catalyst/fce-ptb-45-55,Catalyst
10% Platinum on Carbon XC-72,NA,NA,,https://www.fuelcellstore.com/fuel-cell-components/catalyst/10-platinum-carbon,Catalyst
XT 20% Nickel on Vulcan XC-72R Grade S,NA,NA,NA,https://www.fuelcellstore.com/fuel-cell-components/catalyst/fce-20ni-vulcanxc72r,Catalyst
XT 40% Ruthenium on KetjenBlack EC-300J Grade T,NA,NA,NA,https://www.fuelcellstore.com/fuel-cell-components/catalyst/fce-40ru-kb300,Catalyst
