sample_id,timestamp,run_hours,cycle_number,cathode_catalyst,anode_catalyst,Pt_at%,Co_at%,Ni_at%,Pd_at%,Ir_at%,graphene_support_%,TiO2_support_%,CeO2_support_%,gC3N4_support_%,C_support_%,total_metal_loading_%,BET_surface_area_m2_g,membrane_type,active_area_cm2,electrolyte,voltage_V,operating_pressure_bar,current_density_mA_cm2,voltage_efficiency_%,faradaic_efficiency_CH3OH_%,degradation_rate_per_hour,cumulative_degradation_%,voltage_drift_24h,metal_support_ratio,catalyst_complexity_index,voltage_stability_index,failure_risk_level,maintenance_needed
MEA_0001,2024-01-01 0:00,1,1,Pt/Graphite,RuO2,25.8,52.3,15.6,13.7,87.6,83.8,55.6,80.2,21.9,26.5,8.39,90.6,PEM,5,0.5M H2SO4,1.87,0.9,46.69,64.2,75,0.004428,0.004428,0.0115,0.035,4,0.693,normal,0
MEA_0002,2024-01-01 6:00,7,2,Pt-Ru/g-C3N4,RuO2,45.9,1.8,29.4,19.7,53.9,80.3,78,86.1,32.6,66.3,6.81,21.6,AEM-Sustainion X37,1,0.5M Na2CO3,1.54,2.2,13.17,46.8,38.2,0.001851,0.017385,0.0036,0.025,4,0.844,normal,0
MEA_0003,2024-01-01 12:00,13,3,Pd-Ni/CeO2,IrO2,98,49.5,33.1,21.1,28.2,96.1,1.6,13.7,75.6,96.5,3.71,80.2,AEM-Sustainion X37,10,1M KOH,1.41,2.1,32.48,66.8,83.9,0.000344,0.021857,0.0042,0.02,4,0.967,warning,1
MEA_0004,2024-01-01 18:00,19,4,Pt/Graphite,,49.3,7.7,66.2,20.6,42.5,53.6,81.8,95.2,39.4,91.6,9.39,57.9,Nafion 211,1,Buffer+1M KCl,2.21,2.2,14.48,74.4,44.6,0.004119,0.100118,0.004,0.035,4,0.708,normal,0
MEA_0005,2024-01-02 0:00,25,5,Pt-Ni/TiO2/CeO2,RuO2,32.9,20.1,58.7,45.4,3.8,48.8,4,32.9,60.8,50.3,9.17,55.7,Nafion 212,10,1M KOH,1.55,1.4,25.85,85.5,51.2,0.000524,0.113218,-0.009,0.063,4,0.95,normal,0
MEA_0006,2024-01-02 6:00,31,6,Carbon Paper,RuO2,63.3,44.6,61.5,35.7,12.8,40.2,89,66.2,44.5,79.5,2.49,20.6,PEM,10,1M KOH,1.48,1.2,39.53,77.3,87,0.00084,0.139258,-0.0028,0.01,4,0.923,warning,1
MEA_0007,2024-01-02 12:00,37,7,Pd-Ni/CeO2,NiFeO2,24,9.6,0.9,30.4,76.6,15.4,99.2,75.2,74.2,13.6,0.87,85.6,Nafion 212,10,0.5M Na2CO3,2.27,2.4,44.2,43.6,64.7,0.004006,0.28748,-0.0054,0.003,4,0.714,normal,0
MEA_0008,2024-01-02 18:00,43,8,Pd-Ni/CeO2,RuO2,7.6,49.1,33.3,15.5,0,57.3,29.4,81.2,22.8,97.7,7.54,48.8,AEM-Sustainion X37,20,1M KOH,2.27,2.4,42.1,56.9,51.9,0.000853,0.324159,0.0166,0.04,4,0.921,normal,0
MEA_0009,2024-01-03 0:00,49,9,Pt/Graphite,NiFeO2,12.9,49.9,38.5,41.2,41.7,27.7,21,94.6,5.8,96.4,8.36,63.3,Nafion 212,5,1M KOH,1.53,1.6,29.53,55.8,87,0.001461,0.395748,-0.0018,0.056,4,0.873,normal,0
MEA_0010,2024-01-03 6:00,55,10,Pt-Co/TiO2/g-C3N4,,12.8,30.4,1.5,47.8,52.3,92.1,76.5,31.3,30,16.4,9.69,74.2,AEM-Sustainion X37,1,1M KOH,2.25,2,13.19,90.3,49.7,0.001086,0.455478,-0.0058,0.042,4,0.902,warning,1
MEA_0011,2024-01-03 12:00,61,11,Pt-Ni/TiO2/CeO2,IrO2,15.2,0.4,20.8,41.1,5.5,58.3,25.3,85.9,47.4,29.9,8.95,76.2,Nafion 212,5,Buffer+1M KCl,2.28,1.4,33.4,87.7,35.7,-0.000302,0.437056,-0.0064,0.041,4,0.971,warning,1
MEA_0012,2024-01-03 18:00,67,12,Pt/Graphite,IrO2,13.9,17.2,60.8,0.1,97.3,59.3,86.6,13.2,16.8,10,6.21,96.5,Nafion 211,10,1M KOH,1.64,2.3,35.79,60.4,89.8,-0.000767,0.385667,0.011,0.035,4,0.929,critical,1
MEA_0013,2024-01-04 0:00,73,13,Pt-Ni/TiO2/CeO2,,64.1,37,11,31.8,22.6,35.5,10.3,70.5,35.5,27.2,5.54,62.5,Nafion 212,10,0.5M H2SO4,1.1,2.6,1.52,43.9,46.1,0.003347,0.629998,-0.0098,0.036,4,0.749,critical,1
MEA_0014,2024-01-04 6:00,79,14,Pt-Ni/TiO2/CeO2,IrO2,18.2,58.9,42.8,2.6,30.4,5.2,12.6,74.2,40,81.6,0.76,52,AEM-Sustainion X37,5,1M KOH,1,2.2,22.52,89.2,81.1,0.002871,0.856807,0.0041,0.006,4,0.777,warning,1
MEA_0015,2024-01-04 12:00,85,15,Carbon Paper,,34.6,37.9,17.2,12.9,30.4,3.2,97.9,67.8,5.7,37.8,2.84,96.3,PEM,5,0.5M Na2CO3,1.78,1.8,42.32,88.9,39.9,0.000694,0.915797,-0.0064,0.016,4,0.935,normal,0
MEA_0016,2024-01-04 18:00,91,16,Pd-Ni/CeO2,,89.7,15.6,1,3,23,42.3,67.4,25.2,58.3,8.8,4.87,71.4,PEM,1,1M KOH,1.52,1.6,24.99,87,73.9,0.000774,0.986231,0.0155,0.025,4,0.928,warning,1
MEA_0017,2024-01-05 0:00,97,17,Pt-Ru/g-C3N4,,47.4,38,19.3,30.2,0.1,8.5,84.7,87.3,88.4,34.2,6.47,43.9,PEM,10,1M KOH,2.5,2.1,16.26,86.5,61.5,0.00467,1.439221,0.0188,0.024,4,0.682,normal,0
MEA_0018,2024-01-05 6:00,103,18,Carbon Paper,IrO2,66.8,32.4,78.1,34.3,72.9,60.7,32.4,16.9,15.2,98.1,5.79,30.1,AEM-Sustainion X37,5,Buffer+1M KCl,2.16,2.2,43.72,66.4,88.9,0.004926,1.946599,0.0188,0.046,4,0.67,normal,0
MEA_0019,2024-01-05 12:00,109,19,Carbon Paper,NiFeO2,17.2,46.8,64.1,5.7,96.7,88.1,67.6,5.4,59.8,63,7.56,87.4,Nafion 212,20,0.5M H2SO4,2.14,1.9,8.64,49.8,63.2,0.001841,2.147268,0.0033,0.034,4,0.845,normal,0
MEA_0020,2024-01-05 18:00,115,20,Pt-Ni/TiO2/CeO2,,19.2,6.4,76.8,19.2,22.4,88.3,59.4,71.7,66.5,41.6,3.16,49,PEM,10,1M KOH,2.43,2.1,11.12,66.3,31.5,0.003815,2.585993,0.0093,0.011,4,0.724,normal,0
MEA_0021,2024-01-06 0:00,121,21,40wt%_Pt/C,RuO2,4.1,45.7,39,22.8,66.3,65.9,60.3,47.5,41.9,16.7,5.87,72.8,PEM,10,0.5M H2SO4,2.33,0.7,34.68,67.2,66.2,0.00342,2.999813,0.008,0.027,4,0.745,warning,1
MEA_0022,2024-01-06 6:00,127,22,Pd-Ni/CeO2,IrO2,16.9,32.5,8.8,18.5,74.2,21.1,68.3,84.9,70.1,98.6,1.34,57.7,PEM,1,0.5M Na2CO3,1.48,2.9,18.27,66.9,38.7,0.000784,3.099381,0.0005,0.005,4,0.927,normal,0
MEA_0023,2024-01-06 12:00,133,23,Pt-Co/TiO2/g-C3N4,,27.9,57.8,43.8,6.1,84.8,86.3,57.5,38.3,41.1,82.1,4.43,35.9,Nafion 211,20,Buffer+1M KCl,1.25,2.5,35.94,69.6,77.9,-0.000649,3.013064,0.0033,0.02,4,0.939,normal,0
MEA_0024,2024-01-06 18:00,139,24,Carbon Paper,,17.7,20.5,36.4,20.9,42.3,88.6,42.9,16.8,50.5,28.1,7.63,68.1,AEM-Sustainion X37,1,0.5M H2SO4,2.12,1.4,8.73,54.2,81.4,-0.000145,2.992909,-0.0081,0.038,4,0.986,normal,0
MEA_0025,2024-01-07 0:00,145,25,Pt-Ru/g-C3N4,RuO2,8.9,38,67.5,37.6,30.3,19.7,27.6,83.6,0.7,7,7.09,24.9,AEM-Sustainion X37,20,Buffer+1M KCl,1.57,1.9,13.36,60.1,58.9,0.00403,3.577259,0.0139,0.054,4,0.713,warning,1
MEA_0026,2024-01-07 6:00,151,26,40wt%_Pt/C,NiFeO2,12.1,55.9,7.8,3.6,32.5,73.7,76.9,54.9,69.2,5.7,9.91,53.1,AEM-Sustainion X37,1,1M KOH,1.71,0.6,8.68,63.9,77,0.003387,4.088696,-0.0028,0.036,4,0.747,normal,0
MEA_0027,2024-01-07 12:00,157,27,40wt%_Pt/C,NiFeO2,46.1,6.2,39.1,4,71.3,28.7,22.6,18.9,66.1,12,3.14,63.7,AEM-Sustainion X37,20,0.5M Na2CO3,1.95,0.6,47.69,47.2,38.7,0.002986,4.557498,0.0038,0.023,4,0.77,normal,0
MEA_0028,2024-01-07 18:00,163,28,Pt-Co/TiO2/g-C3N4,NiFeO2,20.6,56.2,12,17.7,81.7,80.3,69.2,72,3.8,58.1,5.23,54.9,AEM-Sustainion X37,20,Buffer+1M KCl,2.36,1.1,20.86,65,59.5,-0.000216,4.52229,0.0044,0.023,4,0.979,normal,0
MEA_0029,2024-01-08 0:00,169,29,Carbon Paper,,36.4,41.3,26,47.1,18.2,99.7,23.3,51.1,36.8,92.9,3.63,79.9,Nafion 211,20,1M KOH,1.63,2.2,17.52,84.6,53.6,0.00284,5.00225,0.0068,0.017,4,0.779,normal,0
MEA_0030,2024-01-08 6:00,175,30,Pt-Ru/g-C3N4,,50.3,4.1,59,33.4,37.1,3,62.5,60.4,97.9,49.7,4.69,86.2,Nafion 212,5,0.5M H2SO4,2.17,2.6,1.7,85.5,66.7,0.003633,5.638025,0.0145,0.021,4,0.734,normal,0
MEA_0031,2024-01-08 12:00,181,31,Pd-Ni/CeO2,,69,18.1,38.1,33.9,90.2,89.7,74.7,46.1,42.1,84.3,8.64,81.7,Nafion 211,10,0.5M Na2CO3,1.4,1.9,8.52,62.6,32.7,0.004164,6.391709,0.0108,0.034,4,0.706,normal,0
MEA_0032,2024-01-08 18:00,187,32,Pt/C,IrO2,3.9,42.5,30.1,18.1,80.7,62.3,21.9,82.9,50.2,44.6,7,23.1,PEM,20,0.5M Na2CO3,2.05,1.8,21.64,68.5,75.1,-0.000921,6.219482,0.0099,0.032,4,0.916,warning,1
MEA_0033,2024-01-09 0:00,193,33,Pt-Ru/g-C3N4,RuO2,79.9,4,31.6,29.7,98.5,97.3,6,83,91,70.9,8.88,35.5,Nafion 211,5,0.5M H2SO4,1,1.5,4.36,41.9,34.7,0.003107,6.819133,0.0058,0.032,4,0.763,normal,0
MEA_0034,2024-01-09 6:00,199,34,Pt-Co/TiO2/g-C3N4,,62.8,34.9,36.8,0.5,75.4,46.5,13.1,70.9,71.7,73.2,2.43,62.9,AEM-Sustainion X37,5,0.5M H2SO4,2.31,0.9,26.03,77.1,69.4,-0.000885,6.643018,-0.0071,0.012,4,0.919,normal,0
MEA_0035,2024-01-09 12:00,205,35,40wt%_Pt/C,RuO2,8.2,20.8,62.8,31.8,39.3,84.7,60.6,10.5,58.2,17.4,8.8,94.8,Nafion 211,1,0.5M Na2CO3,1.05,0.8,23.3,62.3,31.1,0.003241,7.307423,0.0021,0.041,4,0.755,normal,0
MEA_0036,2024-01-09 18:00,211,36,Pd-Ni/CeO2,RuO2,87.4,37.3,71.4,45.7,59.1,6.2,84.9,83.9,79.8,36.1,1.07,86.8,AEM-Sustainion X37,10,Buffer+1M KCl,2.07,2.4,38.59,64.5,79.9,0.002814,7.901177,0.0187,0.004,4,0.78,normal,0
MEA_0037,2024-01-10 0:00,217,37,Pt-Ru/g-C3N4,NiFeO2,92.1,2.7,76.4,30.6,66.1,33.5,4.5,67.1,86.4,63.7,8.94,87.4,Nafion 211,10,0.5M Na2CO3,1.07,2.8,33.33,88.1,40.5,-0.00011,7.877307,0.0199,0.047,4,0.989,normal,0
MEA_0038,2024-01-10 6:00,223,38,Pt/C,IrO2,6.1,52.3,63,43.7,7.8,6.7,73.4,69.7,45.7,7.1,3.63,44.3,AEM-Sustainion X37,1,0.5M H2SO4,1.4,1.6,22.85,65.4,60.9,0.003597,8.679438,0.0119,0.019,4,0.735,normal,0
MEA_0039,2024-01-10 12:00,229,39,Pt/C,,27.7,58.4,25.2,36.2,54.4,97.5,34.1,36.3,47.5,36.2,3.49,54.4,PEM,10,Buffer+1M KCl,1.75,2.1,12.01,41.2,45.7,-0.00059,8.544328,-0.0032,0.016,4,0.944,normal,0
MEA_0040,2024-01-10 18:00,235,40,Pt-Ni/TiO2/CeO2,NiFeO2,80.6,58.1,55.1,6,70.9,81.7,47.9,87.9,38.6,53.5,5.36,57.7,AEM-Sustainion X37,1,1M KOH,1.63,2.8,36.62,52.5,73.4,0.003958,9.474458,-0.0069,0.021,4,0.716,warning,1
MEA_0041,2024-01-11 0:00,241,41,Pt-Ni/TiO2/CeO2,NiFeO2,74.8,45,35,45.1,16.7,85.3,92.9,72.5,96.7,99.6,9.44,32.6,Nafion 211,5,0.5M Na2CO3,1.29,0.7,35.69,66.2,49.3,0.000572,9.61231,0.0024,0.027,4,0.946,normal,0
MEA_0042,2024-01-11 6:00,247,42,Pt/Graphite,,18.5,7.8,20.4,3.3,78.1,93.8,33.2,11.3,69.7,47.5,0.95,22.5,PEM,5,0.5M H2SO4,1.5,2.4,8.51,63.3,73.5,0.003133,10.386161,0.0157,0.005,4,0.761,normal,0
MEA_0043,2024-01-11 12:00,253,43,Pt-Co/TiO2/g-C3N4,RuO2,20.9,45.5,67.3,26.7,58.4,8.5,46.5,40.8,8.3,81.6,3.85,95.8,Nafion 211,20,1M KOH,2.09,2,45.82,87.3,47.1,0.004542,11.535287,0.0117,0.037,4,0.688,normal,0
MEA_0044,2024-01-11 18:00,259,44,Carbon Paper,NiFeO2,37,1.5,3.1,7.1,95.2,38.6,1.4,88.6,86.3,43.2,8.64,39.3,PEM,1,0.5M Na2CO3,2,2,4.16,69.8,75.1,0.001039,11.804388,0.0165,0.04,4,0.906,normal,0
MEA_0045,2024-01-12 0:00,265,45,Pt-Ru/g-C3N4,RuO2,48.5,1.3,72.1,0.6,4.2,7.1,8.2,4.7,48.1,79.6,4.26,39.2,Nafion 212,5,0.5M Na2CO3,1.11,1.2,3.7,77.9,31.8,0.002017,12.338893,0.0085,0.062,4,0.832,normal,0
MEA_0046,2024-01-12 6:00,271,46,Pt-Ru/g-C3N4,IrO2,61.8,19.4,36.9,21.1,26.5,21.1,25.9,96.1,6.9,59.5,2.39,26.7,Nafion 212,5,Buffer+1M KCl,2.12,2.2,10.18,65.8,47,0.001779,12.821002,-0.0061,0.016,4,0.849,normal,0
MEA_0047,2024-01-12 12:00,277,47,Carbon Paper,RuO2,36.9,29.3,51,14.8,60.2,22.9,2.8,67.9,55,88.7,4.54,94.3,Nafion 212,1,0.5M H2SO4,1.08,2.5,45.56,64.2,59.9,-5.40E-05,12.806044,-0.0066,0.031,4,0.995,critical,1
MEA_0048,2024-01-12 18:00,283,48,Pt/Graphite,IrO2,46.3,46.2,52.7,24.3,29.7,46.9,63.1,63.1,41.7,41.1,4.16,66.4,Nafion 211,5,1M KOH,1.81,0.8,26.48,64.5,32.7,0.002542,13.52543,-0.0086,0.019,4,0.797,normal,0
MEA_0049,2024-01-13 0:00,289,49,40wt%_Pt/C,RuO2,74.7,41,71.6,28.9,71.4,26.9,42.6,27.1,87.8,60.4,9.2,73.4,Nafion 211,10,0.5M Na2CO3,1.39,1.8,39.61,62.6,41.2,0.003458,14.524792,0.007,0.05,4,0.743,normal,0
